,Unnamed: 0,project,algorithm,batch_size,confidence,builds_reqd,median_delay,testall_size
301,301,gradle.csv,BATCHSTOP4,4,18,9.501557632398754,2.0,1926
302,302,gradle.csv,BATCHSTOP4,4,19,9.553478712357215,2.0,1926
303,303,gradle.csv,BATCHSTOP4,4,20,8.878504672897199,2.0,1926
304,304,gradle.csv,BATCHSTOP4,8,2,17.757009345794394,4.0,1926
305,305,gradle.csv,BATCHSTOP4,8,3,17.341640706126686,3.0,1926
306,306,gradle.csv,BATCHSTOP4,8,4,16.303219106957425,4.0,1926
307,307,gradle.csv,BATCHSTOP4,8,5,14.589823468328142,3.0,1926
308,308,gradle.csv,BATCHSTOP4,8,6,13.966770508826585,3.0,1926
309,309,gradle.csv,BATCHSTOP4,8,7,14.018691588785046,4.0,1926
310,310,gradle.csv,BATCHSTOP4,8,8,13.75908618899273,4.0,1926
311,311,gradle.csv,BATCHSTOP4,8,9,13.499480789200415,4.0,1926
312,312,gradle.csv,BATCHSTOP4,8,10,12.357217030114226,4.0,1926
313,313,gradle.csv,BATCHSTOP4,8,11,12.201453790238835,4.0,1926
314,314,gradle.csv,BATCHSTOP4,8,12,11.73416407061267,4.0,1926
315,315,gradle.csv,BATCHSTOP4,8,13,11.474558670820352,4.0,1926
316,316,gradle.csv,BATCHSTOP4,8,14,12.305295950155765,4.0,1926
317,317,gradle.csv,BATCHSTOP4,8,15,11.42263759086189,4.0,1926
318,318,gradle.csv,BATCHSTOP4,8,16,10.695742471443406,4.0,1926
319,319,gradle.csv,BATCHSTOP4,8,17,10.43613707165109,4.0,1926
320,320,gradle.csv,BATCHSTOP4,8,18,10.332294911734165,4.0,1926
321,321,gradle.csv,BATCHSTOP4,8,19,10.488058151609554,4.0,1926
322,322,gradle.csv,BATCHSTOP4,8,20,9.76116303219107,4.0,1926
323,323,gradle.csv,BATCHSTOP4,16,2,14.641744548286605,8.0,1926
324,324,gradle.csv,BATCHSTOP4,16,3,15.42056074766355,8.0,1926
325,325,gradle.csv,BATCHSTOP4,16,4,14.90134994807892,8.0,1926
